collegeName,aliasName,state,city,photo,rank,ACT,aidPercent,acceptance,tuition,gpa,enrollment,SAT,costAfterAid,type,academicCalendar,setting,website
Walla Walla University,,WA,College Place,https://www.usnews.com/dims4/USNEWS/ee31176/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F00%2F45e074ebd37a91e132a7b5175bd83a%2Fcollege-photo_25300.jpg,#49,19,,65,28035,,,1020,,Private,Quarter,Rural,http://www.wallawalla.edu
International College of the Cayman Islands,,,Grand Cayman KY1-1501,,Unranked,,,,,,,,,Private,N/A,N/A,//www.icci.edu.ky/index.html
George Mason University,GMU,VA,Fairfax,https://www.usnews.com/dims4/USNEWS/d24a024/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F95%2F7e1553b342425c389572ad5caae8ec%2F171120001new.jpg,#153,24,43,81,36024,3.7,26192,1120,41925,Public,Semester,Suburban,https://www2.gmu.edu
Centre College,,KY,Danville,https://www.usnews.com/dims4/USNEWS/a201042/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fec%2Fe63145745ecffe5b876e15b20a53e1%2Fcollege-photo_16918.jpg,#53,27,57,73,43000,3.6,1434,1190,23478,Private,4/1/2004,City,http://www.centre.edu
Eureka College,,IL,Eureka,https://www.usnews.com/dims4/USNEWS/8bbe346/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F81%2F25fd7ac7958055cfb13f8e958b5183%2Fcollege-photo_10520.jpg,#35,17,72,57,26890,3.2,567,950,23160,Private,Semester,Rural,http://www.eureka.edu
University of Alabama,,AL,Tuscaloosa,https://www.usnews.com/dims4/USNEWS/3b4fabe/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff5%2Ff5%2Fc151160f43f69ca6ea9587abe22a%2F190830university-of-alabama0.jpg,#153,23,24,59,30250,3.7,33028,1060,31246,Public,Semester,Suburban,http://www.ua.edu
University of Calgary,,,"Calgary, Alberta",,Unranked,,,,,,,,,Public,N/A,N/A,//www.ucalgary.ca/
Yeshiva University,,NY,New York,https://www.usnews.com/dims4/USNEWS/ff8cbba/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe3%2F41c7e02ad279e22acaf436ea2d9630%2Fcollege-photo_12207.jpg,#97,22,52,60,44900,3.4,2682,1140,34594,Private,Semester,Urban,http://www.yu.edu
Mississippi College,,MS,Clinton,https://www.usnews.com/dims4/USNEWS/2c5794c/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3b%2Fd7f84e62363d08e4635ba07d8b6541%2Fcollege-photo_33354.jpg,#293-#381,21,,38,18610,3.6,3232,1030,,Private,Semester,Suburban,http://www.mc.edu
Bethany College,,WV,Bethany,,#164-#215,17,,91,30666,2.9,560,890,,Private,Semester,Rural,http://www.bethanywv.edu
Carroll University,,WI,Waukesha,https://www.usnews.com/dims4/USNEWS/80a6986/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F75%2F4bd13670c21a33329b56d86662678d%2Fcollege-photo_24077.jpg,#66,21,78,69,32960,,2901,1050,24877,Private,Semester,Suburban,http://www.carrollu.edu/
University of Saskatchewan,,,"Saskatoon, Saskatchewan",,Unranked,,,,,,,,,Public,N/A,N/A,http://explore.usask.ca
